t,H,L
0.0,2.18,4.44
1.0,2.1786864059465887,4.442676956649329
2.0,2.1773831053877566,4.445336284932459
3.0,2.1760899462416914,4.447978226484105
4.0,2.1748067797478288,4.450603017945303
5.0,2.173533460371472,4.453210891101041
6.0,2.172269845711799,4.455802073013159
7.0,2.1710157964131103,4.458376786148714
8.0,2.169771176079189,4.460935248503994
9.0,2.1685358511906316,4.463477673724367
10.0,2.1673096910250407,4.46600427122011
11.0,2.1660925675799514,4.468515246278408
12.0,2.1648843554983856,4.4710108001716495
13.0,2.163684931996926,4.473491130262179
14.0,2.162494176796206,4.475956430103642
15.0,2.161311972053725,4.478406889539049
16.0,2.1601382022988926,4.480842694795701
17.0,2.1589727543702106,4.4832640285770715
18.0,2.157815517354517,4.48567107015179
19.0,2.156666382528205,4.4880639954398145
20.0,2.1555252433003447,4.490442977095909
21.0,2.15439199515763,4.492808184590529
22.0,2.153266535611087,4.495159784288201
23.0,2.1521487641444694,4.497497939523501
24.0,2.1510385821642855,4.499822810674711
25.0,2.1499358929513885,4.502134555235243
26.0,2.148840601614076,4.504433327882907
27.0,2.147752615042642,4.506719280547109
28.0,2.146671841865325,4.508992562474043
29.0,2.145598192405609,4.511253320289957
30.0,2.144531578640815,4.513501698062557
31.0,2.1434719141619514,4.515737837360611
32.0,2.1424191141347664,4.517961877311825
33.0,2.1413730952619643,4.520173954659045
34.0,2.1403337757465457,4.522374203814843
35.0,2.139301075256228,4.524562756914546
36.0,2.1382749148889113,4.526739743867752
37.0,2.1372552171391503,4.528905292408405
38.0,2.136241905865602,4.5310595281434445
39.0,2.1352349062594107,4.533202574600118
40.0,2.1342341448134996,4.535334553271962
41.0,2.1332395492927407,4.537455583663527
42.0,2.1322510487049686,4.539565783333865
43.0,2.131268573272812,4.541665267938837
44.0,2.130292054406318,4.543754151272269
45.0,2.1293214246763377,4.545832545305994
46.0,2.128356617788652,4.547900560228825
47.0,2.12739756855881,4.549958304484484
48.0,2.126444212887659,4.552005884808519
49.0,2.125496487737542,4.554043406264258
50.0,2.124554331109144,4.556070972277804
51.0,2.123617682018959,4.558088684672125
52.0,2.122686480477367,4.560096643700254
53.0,2.121760667467295,4.56209494807763
54.0,2.120840184923444,4.564083695013611
55.0,2.1199249757120695,4.566062980242175
56.0,2.1190149836112893,4.568032898051841
57.0,2.11811015329191,4.569993541314836
58.0,2.117210430298752,4.5719450015155205
59.0,2.1163157610324577,4.5738873687781085
60.0,2.1154260927317687,4.575820731893691
61.0,2.1145413734562597,4.577745178346587
62.0,2.1136615520695097,4.579660794340052
63.0,2.1127865782227033,4.581567664821349
64.0,2.111916402338645,4.583465873506204
65.0,2.111050975596175,4.585355502902674
66.0,2.110190249914977,4.587236634334432
67.0,2.109334177940761,4.5891093479634915
68.0,2.1084827130308166,4.590973722812389
69.0,2.1076358092399197,4.592829836785834
70.0,2.1067934213065866,4.594677766691848
71.0,2.1059555046396636,4.596517588262402
72.0,2.105122015305241,4.598349376173569
73.0,2.104292910013885,4.600173204065208
74.0,2.1034681461081792,4.601989144560184
75.0,2.102647681550557,4.603797269283146
76.0,2.101831474911434,4.605597648878874
77.0,2.101019485357614,4.6073903530301985
78.0,2.100211672640974,4.609175450475517
79.0,2.0994079970874115,4.610953009025906
80.0,2.0986084195860544,4.612723095581851
81.0,2.0978129015787186,4.614485776149595
82.0,2.0970214050496123,4.616241115857126
83.0,2.0962338925152775,4.617989178969796
84.0,2.0954503270147615,4.6197300289056065
85.0,2.094670672100017,4.621463728250146
86.0,2.093894891826514,4.623190338771204
87.0,2.093122950744073,4.62490992143306
88.0,2.0923548138878982,4.626622536410464
89.0,2.0915904467698154,4.628328243102308
90.0,2.0908298153697062,4.630027100145009
91.0,2.0900728861271314,4.631719165425598
92.0,2.0893196259331415,4.633404496094529
93.0,2.088570002122267,4.6350831485782145
94.0,2.0878239824646867,4.636755178591298
95.0,2.0870815351585645,4.6384206411486595
96.0,2.0863426288225564,4.640079590577173
97.0,2.085607232488478,4.641732080527216
98.0,2.0848753155941306,4.643378163983939
99.0,2.0841468479762835,4.645017893278295
100.0,2.083421799863805,4.646651320097852
101.0,2.082700141870939,4.648278495497367
102.0,2.081981844990729,4.6498994699091565
103.0,2.081266880588575,4.651514293153246
